video_id,title_negative,title_neutral,title_positive,title_rate,tags_negative,tags_neutral,tags_positive,tags_rate
AzLYMcneJMU,0.0,100.0,0.0,Neutral,0.0,92.9,7.1,Positive
B-PVT_rclnM,0.0,100.0,0.0,Neutral,22.8,54.300000000000004,22.8,Neutral
B0R9wQAFBbI,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
B1Kitc6cMXw,0.0,100.0,0.0,Neutral,0.0,66.7,33.300000000000004,Positive
B1pdDGaC9Mk,0.0,100.0,0.0,Neutral,0.0,95.6,4.3999999999999995,Positive
B1r4Z3nXPVA,0.0,100.0,0.0,Neutral,0.0,91.4,8.6,Positive
B2MvoBRzrm4,0.0,100.0,0.0,Neutral,0.0,74.5,25.5,Positive
B2W7c3XRBwQ,0.0,100.0,0.0,Neutral,0.0,91.5,8.5,Positive
B2YCf8dTkIM,0.0,100.0,0.0,Neutral,10.9,89.1,0.0,Negative
B3JFSL8AA70,0.0,100.0,0.0,Neutral,5.2,52.400000000000006,42.4,Positive
B3qT1k0r9pw,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
B450jhJ5vHg,0.0,73.0,27.0,Positive,0.0,80.60000000000001,19.400000000000002,Positive
B4C10LKAcZQ,0.0,100.0,0.0,Neutral,3.0,93.10000000000001,3.9,Positive
B4gXsobd_ao,0.0,73.7,26.3,Positive,0.0,79.7,20.3,Positive
B4mK5OElAFQ,35.9,64.1,0.0,Negative,7.1,81.6,11.4,Positive
B5HORANmzHw,0.0,100.0,0.0,Neutral,0.0,80.80000000000001,19.2,Positive
B5gu6o6CIDA,0.0,100.0,0.0,Neutral,0.0,75.9,24.099999999999998,Positive
B7AjF4of300,0.0,100.0,0.0,Neutral,0.0,91.2,8.799999999999999,Positive
B7B6x2bHcUs,0.0,100.0,0.0,Neutral,10.9,89.1,0.0,Negative
B8R148hFxPw,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
B9127l-xpdE,0.0,68.2,31.8,Positive,0.0,86.1,13.900000000000002,Positive
B9nVxg3DqAM,0.0,63.7,36.3,Positive,0.0,73.8,26.200000000000003,Positive
BBQ-2BUGQv8,18.099999999999998,70.39999999999999,11.600000000000001,Negative,18.3,74.1,7.7,Negative
BC19fhyTG_M,0.0,64.1,35.9,Positive,0.0,78.10000000000001,21.9,Positive
BEcs3TL8DII,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
BEweWXa5Twk,0.0,100.0,0.0,Neutral,0.0,89.3,10.7,Positive
BFWI0GQZA14,0.0,100.0,0.0,Neutral,0.0,78.2,21.8,Positive
BFkTu8Y1KLs,0.0,100.0,0.0,Neutral,0.0,74.5,25.5,Positive
BFqNP8VqoPs,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
BG0a04PX-zY,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
BGk6_KEFtLE,42.9,23.799999999999997,33.300000000000004,Negative,0.0,100.0,0.0,Neutral
